name	kategorie	lat	lng	beschreibung	link
Abdecker hinterm Hundskogel	Abdecker	47.69998	13.614274		
Abdeckerhaus im Sand	Abdecker	47.72141	14.316303	Wasenmeister am Sand nächst Windischgarsten	https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=94638
Schwertnerhäusl	Indizort	47.72163267	14.32218588	Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.	
Rabenstein	Indizort	47.779074	14.000992	Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.	
Walnerhäusl am Rathpichl	Indizort	47.80334767	13.48272862	Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.	
Schedlbauer	Indizort	47.84115825	14.15992149	Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.	
Galgen	Richtstätten	47.8458	13.28376	Überlieferung, dass die Herren von Wartenfels im 15./16. Jh. die Verurteilten hier hinrichten ließen. Weithin sichtbar stand damals in der heutigen Maiberger Wiese der Galgen.	https://www.snooop.net/entdecken/gastberger-wetterkreuz/703098
Richtstätte Mondsee	Richtstätten	47.855808	13.35	Am 18. 12. 1662 wurde am Marktplatz Mondsee die Richtstätte errichtet. 11 Bauern wurden verurteilt – 2 wurden geköpft (Handlbauer und ein weiterer Bauer der Region)	https://www.salzkammergut.at/oesterreich-poi/detail/430022048/arme-seelen-taferl.html
Scheiblehner	Indizort	47.85757369	14.53731319	Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.	
Galgen	Richtstätten	47.86492	13.33855	JL – Josephinische Landesaufnahme (1775–1777)	https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1483065.5321667448%2C6083069.851001294%2C1487427.2200932677%2C6084787.295480577&map-list=1&layers=163%2C165
Rothenstein	Indizort	47.86630772	14.55628761	Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.	
